,Date,User,Tweet
86,2019-09-04 12:48:12+00:00,kyngdavid77,Some of them don't even know what #Xenophia Is. Some thug in the act said xenophobia is an igbo man who was killed by South Africans. https://t.co/73mxa86ifY
87,2019-09-04 12:44:35+00:00,badboi222,"leave Nigeria to a country that we helped gain independence??while the #Xenophia is appalling, this is a wake up call that if we don""t fix our own country, whatever we get outside,make we take am like that o. to those who quickly want to state how we ""made SA"", please recall,"
88,2019-09-04 12:42:33+00:00,x_Abdool,"Who can some people be so heartless burning people alive, brutalizing innocent people, and the most annoying part of it they video it and cheer at it that they really enjoying it. Of all the videos I've seen not a single person tries to plead for the lives of the people
#Xenophia"
89,2019-09-04 12:40:40+00:00,adekunleCDQ,"I love my country Nigerian no dey carry last
@akaworldwide tell your people to attack and see how our people are going to dribble them 
#XenophobicAttack 
#XenophobiaInSouthAfrica #Xenophia https://t.co/ZbiBn71wrW"
90,2019-09-04 12:39:37+00:00,blizo_World,"I guess SAPS is divided, some just wanna honour the country with their service, while some are more concerned with ""kholie- coldrink"" see now peeps are taking the law into their hands , and all it did is have things go out of hand. #Xenophia"
91,2019-09-04 12:38:37+00:00,Demlab11,"If you all know the shit @akaworldwide is going through on Instagram, you will pity him. Tundeednut don unleashed attack on him with his Instagram soldiers.

#XenophobiaInSouthAfrica #Xenophia"
92,2019-09-04 12:37:19+00:00,Escoferry15,This is very heartbreaking. We are causing hurt and harm to our own citizens in the name of fighting against #Xenophia please @DrJoeAbah increase the volume let the speaker face their conscience. https://t.co/skSk6Pnacb
93,2019-09-04 12:28:41+00:00,olowolekomoh,"Still scouting for a corolla for Uber or personal purpose ? 

Scout no more. 

Just DM IG handle @autcove_ for any 👇🏻

#SayNoToXenophobicAttacks #Xenophia #NoToXenophobia https://t.co/tDXlYjuuos"
94,2019-09-04 12:21:14+00:00,Emeke___,"Of which you have the right to TF? Why are Nigerians attacking this guy if I may ask. Ycee clearly dug out his old tweet, which was clearly football bants and managed to convince y'all that it's related to #Xenophia and he (AKA) hates Nigeria? https://t.co/nQKXUXtujP"
95,2019-09-04 11:53:50+00:00,elvix3g,I’m so blocking any south African that promotes hate speech or is in support of #Xenophia #SayNoToXenophobia
96,2019-09-04 11:15:31+00:00,_chidebelum,"@MusicGuide_ @ShowDemCamp At the moment ""No white flag"" makes sense #Xenophia"
